
Función de autocorrelación para residuos
***, ** y * indica significatividad a los niveles del 1%, 5% y 10%
utilizando la desviación típica 1/T^0,5

 RETARDO    FAC          FACP         Estad-Q. [valor p]

    1  -0,0115       -0,0115          0,0643  [0,800]
    2   0,0078        0,0077          0,0940  [0,954]
    3  -0,0064       -0,0062          0,1135  [0,990]
    4   0,0112        0,0110          0,1747  [0,996]
    5   0,0218        0,0222          0,4057  [0,995]
    6  -0,0419       -0,0416          1,2590  [0,974]
    7   0,0250        0,0239          1,5640  [0,980]
    8  -0,0067       -0,0054          1,5857  [0,991]
    9  -0,0195       -0,0211          1,7719  [0,995]
   10  -0,0009       -0,0004          1,7723  [0,998]
   11   0,0433        0,0449          2,6954  [0,994]
   12  -0,0331       -0,0353          3,2347  [0,994]
   13   0,0462        0,0479          4,2881  [0,988]
   14   0,0159        0,0178          4,4136  [0,992]
   15   0,0652        0,0623          6,5238  [0,970]

